module,platform
platform/android/libs/google_play_services/res/values-lo-rLA,Android
platform/android/libs/google_play_services/res/values-lt,Android
platform/android/libs/google_play_services/res/values-lv,Android
platform/android/libs/google_play_services/res/values-mn-rMN,Android
platform/android/libs/google_play_services/res/values-ms-rMY,Android
platform/android/libs/google_play_services/res/values-nb,Android
platform/android/libs/google_play_services/res/values-nl,Android
platform/android/libs/google_play_services/res/values-pl,Android
platform/android/libs/google_play_services/res/values-pt,Android
platform/android/libs/google_play_services/res/values-pt-rBR,Android
platform/android/libs/google_play_services/res/values-pt-rPT,Android
platform/android/libs/google_play_services/res/values-ro,Android
platform/android/libs/google_play_services/res/values-ru,Android
platform/android/libs/google_play_services/res/values-sk,Android
platform/android/libs/google_play_services/res/values-sl,Android
platform/android/libs/google_play_services/res/values-sr,Android
platform/android/libs/google_play_services/res/values-sv,Android
platform/android/libs/google_play_services/res/values-sw,Android
platform/android/libs/google_play_services/res/values-th,Android
platform/android/libs/google_play_services/res/values-tl,Android
platform/android/libs/google_play_services/res/values-tr,Android
platform/android/libs/google_play_services/res/values-uk,Android
platform/android/libs/google_play_services/res/values-vi,Android
platform/android/libs/google_play_services/res/values-zh-rCN,Android
platform/android/libs/google_play_services/res/values-zh-rHK,Android
platform/android/libs/google_play_services/res/values-zh-rTW,Android
platform/android/libs/google_play_services/res/values-zu,Android
platform/android/libs/google_play_services/src/android,Android
platform/android/libs/play_licensing,Android
platform/android/libs/play_licensing/aidl,Android
platform/android/libs/play_licensing/src/com/google/android/vending/licensing,Android
platform/android/libs/play_licensing/src/com/google/android/vending/licensing/util,Android
platform/android/.old,Android
platform/android/.old/java,Android
platform/android/.old/java/res/values,Android
platform/android/.old/java/src/com/android/godot,Android
platform/flash/include/EGL,Windows
platform/flash/include/GL,Windows
platform/flash/include/GLES,Windows
platform/haiku,Windows
platform/iphone,iPhone
platform/iphone/export,iPhone
platform/iphone/globals,iPhone
platform/iphone/xcode/godot_xcode,iPhone
platform/iphone/xcode/godot_xcode/godot_ios,iPhone
platform/iphone/xcode/godot_xcode/godot_ios/en.lproj,iPhone
